Volume,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
,,5,Good,Women Priests,Linda Mary Evans,Essay,Columns,N,N/A,N,N,N/A,N
,,6,Ok,N/A,Linda Mary Evans,Essay,Columns,Y,"Border, Comic",N,N,N/A,N
,,7,Good,Jew in Society,Simon Benson (re-print),Report ,Columns,N,N/A,N,N,N/A,N
,,8,Ok,Quaker View of Sex,Friends Home Service Comitee (re-print),Essay,Columns,N,N/A,N,N,N/A,N
,,9,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,10,Poor,The Catholic Church,N/A,Essay,Columns,N,N/A,N,N,N/A,N
,,11,Ok,N/A,Harriette Frances,"Essay, Poem","Columns, Divided",Y,Comic,N,N,N/A,N
,,12,Good,Amazon,N/A,Anecdote ,"Columns, Box",Y,"Border, Divided ",N,N,N/A,N
,,13,Ok,Robyn,Robyn,Comedy,"Paragraph, Columns",Y,Graphic,N,N,N/A,N
,,14,Ok,Concepts of God,Francoise Strachan,Essay,Columns,N,N/A,N,N,N/A,N
,,15,Good,N/A,Francoise Strachan,Essay,Columns,Y,Divided,Other magazines,N,N/A,N
,,16,Good,Crossword,N/A,Crossword,Crossword,N,N/A,N,Y,Crossword competition,Competition
,,17,Ok,N/A,N/A,Crossword,Columns ,Y,Writing ,N,Y,Crossword competition,Competition
,,18,Ok,Sapphoscope,N/A,Sapphoscope ,"Columns, Divided",Y,"Border, Comic",Sappho promotion graphics,,Sapphoscope,N
,,19,Ok,N/A,N/A,Sappho,"Paragraph, Divided",Y,Writing ,N,N,Subscription,Meetings for Sappho and advertised group organisations.
,,20,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,5,1,Poor,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Advert ,Event ,N,N/A,Maureen Duffy event 
,,3,Good,Help,N/A,Sappho,"Columns, Box",N,N/A,N,Y,Reader questions,N
,,4,Good,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,5,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,6,Good,Happy Families,Virginia Winter,Poetry,Columns,Y,Graphic,N,N,N/A,N
,,7,Good,N/A,Virginia Winter,Poetry,Columns,N,N/A,N,N,N/A,N
,,8,Good,Readers Poems,Readers ,Poetry,Random,Y,"Title, Borders",N,Y,Reader contributions ,N
,,9,Good,Militant Madams,N/A,Essay,Columns,Y,Title,N,N,N/A,N
,,10,Good,N/A,Sappho,Essay,Columns,N,N/A,N,N,N/A,N
,,11,Ok,Amazon,N/A,Anecdote,"Columns, Box",N,N/A,N,N,N/A,N
,,12,Ok,Robyn,Robyn,Essay,Columns,Y,Graphic,N,N,N/A,N
,,13,Good,Puzzle Corner ,N/A,Puzzles ,Columns ,N,N/A, Bookshop,Y,"Quiz, answers filled in on this PDF",N
,,14,Good,N/A,N/A,Letters,Columns ,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,15,Good,Films & Books,"Ruth, Steve",Reviews,Columns,Y,Title,N,N,N/A,N
,,16,Good,N/A,N/A,"Reviews, Essay, Anecdote","Columns, Divided",N,N/A,Groups ,N,N/A,N
,,17,Good,The Spike ,N/A,Sappho,Columns,Y,Title,Other magazines,N,N/A,Groups and address to join
,,18,Good,"Mabel and Mildred, Sapphoscope",N/A,Sapphoscope ,Columns,Y,Mabel and Mildred,N,Y,Sapphoscope,N
,,19,Good,Aims and Objectives,N/A,Sappho,"Paragragh, Divided",N,N/A,Meetings and Counselling ,Y,Subscription,Meetings for Sappho
,,20,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,7,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,Social
,,3,Good,Sapphoscene,N/A,Sapphoscene ,"Columns, Box",N,N/A,N,N,N/A,N
,,4,Good,Happy Families,N/A,Article,Columns,Y,Graphic,N,N,N/A,N
,,5,Good,Heteraecetera,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,6,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,7,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,8,Good,N/A,N/A,Letters,Columns,N,N/A,Event ,Y,Letters to Sappho and replies ,Social
,,9,Good,Rodean,N/A,Article,"Paragraph, Columns",N,N/A,N,N,N/A,N
,,10,Good,N/A,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,11,Good,N/A,N/A,Article,Columns,Y,Graphic,N,N,N/A,N
,,12,Good,Poems,Anne Tibble,Poem,Columns ,Y,Large graphic,N,N,N/A,N
,,13,Good,N/A,Roz Stott,Poem,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,14,Ok,Amazon,N/A,Anecdote,"Columns, Box",Y,Divided,N,N,N/A,N
,,15,Good,N/A,N/A,Anecdote,"Columns, Box",Y,Advert,"Other magazines, Restaurant",N,N/A,N
,,16,Good,"Women-in-Media, Mildred & Muriel",N/A,Comic,Text boxes,Y,Mildred & Muriel,Groups ,N,N/A,N
,,17,Good,Viewer's Reviews,Readers ,Review,"Paragraph, Box",N,N/A,N,Y,Reader contributions ,N
,,18,Good,Films & Books,"Ruth, Steve",Review,Text boxes,N,N/A,N,N,N/A,N
,,19,Good,"Norway News, Gailies",Sappho,"Article, Comic",Text boxes,Y,The Gailies,N,N,N/A,N
,,20,Good,Spike,N/A,Sappho,Columns,Y,Advert,Other magazines,N,N/A,Groups and address to join
,,21,Good,"Puzzle Corner, Mags & Rags",N/A,Puzzles ,"Columns, Box",Y,Title,N,Y,"Crossword, Quiz",Groups and address to join
,,22,Good,Sapphoscope,N/A,Sapphoscope ,"Columns, Divided",Y,"Border, Divided, Writing",Bookshop,Y,Sapphoscope,N
,,23,Good,N/A,N/A,Sappho,"Paragragh, Divided",N,N/A,N,Y,Subscription,Meetings for Sappho
,,24,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Poor,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Ok,N/A,Jacqueline Forster,"Contents, Credits",Text boxes,Y,Graphic,N,N,N/A,N
,,4,Good,Wonderful Guy,Babs,Article,Columns,Y,Photograph,N,N,N/A,N
,,5,Ok,N/A,Babs,Article,Columns,N,N/A,N,N,N/A,N
,,6,Ok,N/A,Babs,Article,Columns,Y,Comic,N,N,N/A,N
,,7,Poor,Amazon,N/A,Article,"Columns, Box",N,N/A,N,N,N/A,N
,,8,Ok,Heteraecetera,N/A,Letters,Columns,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,9,Ok,N/A,N/A,Letters,Columns ,Y,Border,N,Y,Letters to Sappho and replies ,N
,,10,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,11,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,"Letters to Sappho and replies, Short Story Competition",N
,,12,Good,Unto Us,Sappho,Article,Columns,Y,"Graphic, Border",N,N,N/A,N
,,13,Good,N/A,Sappho,Article,Columns,Y,"Graphic, Border",N,N,N/A,N
,,14,Ok,N/A,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,15,Ok,N/A,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,16,Ok,Short Story II,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,17,Ok,N/A,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,18,Ok,N/A,Delia de Winters,Story,Columns,Y,"Comic, Advert",Social,N,N/A,Disco 
,,19,Ok,Books by Steve,Steve,Review,"Columns, Box",Y,Border,N,N,N/A,N
,,20,Ok,Robyn ,Robyn,Article,Columns,Y,Border,N,N,N/A,N
,,21,Good,Spike,N/A,Sappho,Columns,Y,Title,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Ok,Sapphoscope,N/A,Sapphoscope ,"Columns, Box",Y,"Border, Divided ",N,Y,Sapphoscope,N
,,23,Ok,Aims and Objectives,N/A,Sappho,"Paragraph, Box",N,N/A,N,Y,Subscription,N
,,24,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,11,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Good,Happy Families,Tina,Article,Columns,Y,Border,N,N,N/A,N
,,5,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,6,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,7,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,8,Good,Music on Lesbos,Rodney Slatford,Article,Columns,Y,Graphic,N,N,N/A,Meetings
,,9,Ok,Short Story  ,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,10,Ok,N/A,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,11,Ok,N/A,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,12,Ok,New Ghettos,Jacqueline Forster,Article,Columns,Y,Photograph,N,N,N/A,N
,,13,Ok,N/A,Jacqueline Forster,Article,Columns,Y,Photograph,N,N,N/A,N
,,14,Ok,Robyn ,Robyn,Article,Columns ,Y,Border,N,N,N/A,N
,,15,Ok,N/A,Jacqueline Forster,Article,Columns,N,N/A,N,N,N/A,N
,,16,Ok,Book Review,Steve,Review,"Columns, Box",N,N/A,N,N,N/A,N
,,17,Ok,Stocking Up,Goldilocks,Article,Columns,N,N/A,N,N,N/A,N
,,18,Good,Crossword,Tina,"Story, Puzzles",Columns,Y,Comic,N,Y,Crossword ,N
,,19,Good,Amazon,N/A,Article,"Columns, Box",Y,Border,N,N,N/A,N
,,20,Ok,Sapphoscene,N/A,Sappho,Columns,Y,Advert,Other magazines,N,N/A,N
,,21,Ok,Spike,N/A,Sappho,Columns,Y,Title,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Good,Sapphoscope/ Disco,N/A,Sapphoscope ,"Columns, Divided",Y,"Graphic, Border",Event ,Y,Sapphoscope,Social
,,23,Good,N/A,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,24,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
2,1,1,Good,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,Jacqueline Forster,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns ,N,N/A,Event ,Y,Short Story Competition,"CHE Conference in Morecambe, Disco"
,,5,Ok,Masked Disco,N/A,Photos,Collage,Y,Photograph,N,Y,Photos of Disco,Disco 
,,6,Good,Short Story,Penny Rooke,Story,Columns ,Y,"Title, Borders",N,N,N/A,N
,,7,Good,N/A,Penny Rooke,Story,Columns,N,N/A,N,N,N/A,N
,,8,Good,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,9,Ok,N/A,N/A,Letters,Columns,N,N/A,N,N,N/A,N
,,10,Good,Poems,Harriette Frances,Poem,Paragraph,Y,Large graphic,N,N,N/A,N
,,11,Good,N/A,Maureen Duffy,Poem,Paragraph,Y,Large graphic,N,N,N/A,N
,,12,Ok,Women's March,Jenny Potter,Photos,Photo,Y,Photograph,N,N,N/A,International women's day march
,,13,Ok,N/A,Jenny Potter,Photos,Collage,Y,Photograph,N,N,N/A,International women's day march
,,14,Good,Amazon,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,15,Good,N/A,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,16,Ok,Robyn,Robyn,Article,Columns,Y,Title,N,N,N/A,N
,,17,Good,Music Review,jill,Adverts,Columns,Y,Title,Event ,Y,Call for reader music submissions,Music events in London
,,18,Good,Book Review,Diana,Review,Columns,N,N/A,N,N,N/A,N
,,19,Good,N/A,Diana,Review,Columns,N,N/A,N,N,N/A,N
,,20,Good,N/A,N/A,Letters,Columns,Y,Photograph,"Books, Other magazine",Y,Letters to Sappho and replies ,N
,,21,Good,Spike,N/A,Sappho,Columns,Y,Border,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Good,Sapphoscope,N/A,Sapphoscope ,Text boxes,Y,Crossword,N,Y,"Sapphoscope, Puzzles",N
,,23,Good,Aims & Objectives,Sappho,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,24,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,Jacqueline Forster,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns ,N,N/A,"Event, Spare Rib",N,N/A,"Social, CHE Meeting, Winning Raffle Ticket"
,,5,Good,Happy Families,Mary White,Article,Columns,N,N/A,N,N,N/A,N
,,6,Good,N/A,Mary White,Article,Columns,Y,Advert,B&B,N,N/A,N
,,7,Good,Short Story,A N Other,Story,Paragraph,Y,Graphic,N,N,N/A,N
,,8,Good,Heteraecetera,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,9,Good,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,11,Good,Sexeducation,Roz Stott,Article,Columns,N,N/A,N,N,N/A,N
,,12,Good,N/A,Roz Stott,Article,Columns,N,N/A,N,N,N/A,N
,,13,Good,N/A,Bella Ashbey,Article,Columns,N,N/A,N,N,N/A,N
,,14,Ok,Poems,Hannah P Rodgers,Poem,Paragraph,N,N/A,N,N,N/A,N
,,15,Ok,N/A,Hannah P Rodgers,Poem,Paragraph,N,N/A,N,N,N/A,N
,,16,Good,S&M,Ian Young,Article,"Paragraph, Columns",N,N/A,N,N,N/A,N
,,17,Good,N/A,Ian Young,Article,Columns,N,N/A,N,N,N/A,N
,,18,Good,N/A,Ian Young,Article,Columns,N,N/A,N,N,N/A,N
,,19,Good,N/A,Ian Young,Article,Columns,N,N/A,N,N,N/A,N
,,20,Good,Robyn ,Robyn,Article,Columns,Y,Title,N,N,N/A,N
,,21,Good,Spike,N/A,Sappho,Columns ,Y,Border,Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Good,N/A,Bella Ashbey,Article,Columns,Y,Advert,Other magazines,N,N/A,N
,,23,Good,Amazon,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,24,Ok,Book Review,N/A,Review,Columns,Y,"Title, Borders",N,N,N/A,N
,,25,Good,N/A,N/A,Review,Columns,N,N/A,N,N,N/A,N
,,26,Good,Sapphoscope,N/A,Sapphoscope ,Text boxes,Y,"Title, Borders",N,Y,Sapphoscope,N
,,27,Good,Aims & Objectives,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,28,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,5,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,N,N/A,Event ,N,N/A,"Social, Second meetings"
,,5,Good,Gay Wedding,M.G ,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,6,Good,N/A,Amazing Grace,"Article, Review",Paragraph,Y,Title,N,N,N/A,N
,,7,Good,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,8,Good,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,9,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,11,Good,Day in The Life Of,Isobel Wilson,Article,Columns,Y,"Title, Graphic",N,N,N/A,N
,,12,Good,N/A,Isobel Wilson,Article,Columns,N,N/A,N,N,N/A,N
,,13,Good,N/A,Isobel Wilson,Article,Columns,N,N/A,N,N,N/A,N
,,14,Poor,Anti-Discrim Day,N/A,Article,Columns,Y,Photograph,N,N,N/A,Anti-discrimination day demonstration 28th june 1973
,,15,Ok,N/A,N/A,Article,Paragraph,Y,Photograph,N,N,N/A,Anti-discrimination day demonstration 28th june 1973
,,16,Poor,Poems,"Joan Lee, H.B.L.",Poem,Paragraph,Y,Title,N,Y,Poems by subscribers,N
,,17,Ok,N/A,"R.M.D., Marion Paull, Morceau",Poem,Paragraph,N,N/A,N,Y,Poems by subscribers,N
,,18,Ok,Robyn ,Robyn,Article,Columns,Y,Title,N,N,N/A,N
,,19,Ok,Amazon,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,20,Poor,Book Review,N/A,Review,Columns,Y,Title,N,N,N/A,N
,,21,Ok,Spike Revised,N/A,Sappho,Columns,Y,"Title, Graphic",Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Ok,Spartacus Guide,J. Forster,Article,Columns,Y,Advert,Other magazines,N,N/A,N
,,23,Ok,N/A,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,24,Ok,Puns & Punishment,"Pete Goodwin, J Green","Poem, Comedy",Paragraph,N,N/A,N,N,N/A,N
,,25,Ok,Sappho Sell,N/A,Adverts,Columns,N,N/A,Bookshops,N,N/A,N
,,26,Poor,Sapphoscope,N/A,Sapphoscope ,"Columns, Box",Y,"Title, Borders",N,Y,Sapphoscope,N
,,27,Poor,Aims & Objectives,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,28,Ok,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,7,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Poor,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Poor,Sapphoscene,N/A,Sapphoscene ,Columns,N,N/A,Event ,N,N/A,"Disco, Winter Fayre, Play, fundraiser"
,,5,Ok,Lesbian Culture,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,6,Ok,N/A,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,7,Poor,N/A,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,8,Ok,Heteraecetera,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,9,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,10,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,11,Ok,Holm Sweet Holm,jacqui ,Article,"Paragraph, Columns",Y,Title,N,N,N/A,N
,,12,Good,N/A,jacqui ,Article,Columns,N,N/A,N,N,N/A,N
,,13,Ok,N/A,jacqui ,Article,Columns,N,N/A,N,N,N/A,N
,,14,Ok,Radclyffe Hall,N/A,Obituary,Paragraph,N,N/A,N,N,N/A,N
,,15,Ok,N/A,N/A,Obituary,Paragraph,N,N/A,N,N,N/A,N
,,16,Ok,N/A,N/A,Obituary,Paragraph,N,N/A,N,N,N/A,N
,,17,Ok,Gay & Underage,Carol,Article,Columns,Y,Graphic,N,N,N/A,N
,,18,Ok,Short Story,Dee Kay,Story,Columns,Y,"Title, Graphic",N,N,N/A,N
,,19,Ok,N/A,Dee Kay,Story,Columns,Y,Graphic,N,N,N/A,N
,,20,Ok,Happy Families,Veronica,Article,Columns,Y,"Title, Borders, Graphic",N,N,N/A,N
,,21,Ok,Revised Spike,N/A,Sappho,Columns,Y,"Title, Graphic",Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Ok,N/A,N/A,Sappho,Columns,Y,Advert,Other magazines,N,N/A,Meetings for Sappho and advertised group organisations.
,,23,Ok,Amazon,N/A,Quiz ,Paragraph,Y,Border,N,Y,Quiz,N
,,24,Ok,Overseas,N/A,News,Columns,N,N/A,N,N,N/A,N
,,25,Ok,N/A,jacqui ,Article,"Columns, Box",N,N/A,N,Y,Letters to Sappho and replies ,N
,,26,Ok,Sapphoscope,N/A,Sapphoscope ,"Columns, Box",Y,"Title, Borders",Cassette Club,Y,"Sapphoscope, Quiz answers",N
,,27,Good,Aims & Objectives,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,28,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Poor,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,4,Ok,Sapphoscene,N/A,Sapphoscene ,Columns,N,N/A,Groups ,N,N/A,N
,,5,Ok,Heteraecetera,N/A,Letters,Columns,Y,"Title, Borders",N,Y,Letters to Sappho and replies ,N
,,6,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,7,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,8,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,9,Ok,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,10,Ok,Amazon,N/A,Article,Columns,Y,"Title, Borders",N,N,N/A,N
,,11,Ok,Happy Families,N/A,Article,Columns,Y,Title,N,N,N/A,N
,,12,Ok,N/A,N/A,Article,Columns ,N,N,N,N,N/A,N
,,13,Ok,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,14,Poor,Christmas Card,N/A,Photos,"Photo, Columns",Y,Photograph,N,Y,Christmas card,N
,,15,Ok,Poems,casey,Poem,Columns,N,N,N,N,N/A,N
,,16,Ok,Let Nothing You Dismay,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,17,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,18,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,19,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,20,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,21,Ok,Spike Revised,N/A,Sappho,Columns,Y,"Title, Borders",Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,22,Poor,N/A,N/A,Sappho,Columns,Y,Advert,Other magazines,N,N/A,Meetings for Sappho and advertised group organisations.
,,23,Poor,Book Review,N/A,Review,"Columns, Box",Y,"Border, Advert",Kodak pictures?,N,N/A,N
,,24,Ok,N/A,N/A,Review,Columns,N,N,N,N,N/A,N
,,25,Ok,Requiem,S.M.T.M.,Requiem,Paragraph,N,N,N,N,N/A,N
,,26,Good,Sapphoscope,N/A,Sapphoscope ,Text boxes,Y,"Title, Borders",N,Y,Sapphoscope,N
,,27,Ok,Aims & Objectives,N/A,Sappho,Text boxes,N,N,N,Y,Subscriptions,N
,,28,Ok,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,11,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Restaurant, Bookshop, Other magazines",N,N/A,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,Groups ,N,N/A,"Meetings, Disco"
,,5,Ok,Happy Families,Ed.,Article,Columns,Y,Title,N,N,N/A,N
,,6,Ok,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,7,Ok,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Heteraecetera,N/A,Letters,Columns,Y,Title,N,N,N/A,N
,,9,Good,N/A,N/A,Letters,Columns,N,N,N,N,N/A,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,N,N/A,N
,,11,Good,Lesbian Teach In,Joan Young,Article,Columns,Y,Title,N,N,N/A,N
,,12,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,13,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,15,Good,Struggle,Jack Babuscio,Article,Columns,N,N,N,N,N/A,N
